date,WorkingDays,LeapYear
2005-06-01,8.88178419700125e-16,1.06581410364015e-14
2005-07-01,-4,-7.105427357601e-15
2005-08-01,3,-7.105427357601e-15
2005-09-01,2,3.5527136788005e-15
2005-10-01,-4,-7.105427357601e-15
2005-11-01,1,7.105427357601e-15
2005-12-01,3.5,1.4210854715202e-14
2006-01-01,2,7.105427357601e-15
2006-02-01,0,-0.249999999999996
2006-03-01,4.77781751058817,-7.105427357601e-15
2006-04-01,-6.77781751058818,3.5527136788005e-15
2006-05-01,1,1.06581410364015e-14
2006-06-01,3.5,1.06581410364015e-14
2006-07-01,-4,-7.105427357601e-15
2006-08-01,3,-7.105427357601e-15
2006-09-01,-1.5,3.5527136788005e-15
2006-10-01,-0.5,-7.105427357601e-15
2006-11-01,4.5,7.105427357601e-15
2006-12-01,-3.5,1.4210854715202e-14
2007-01-01,2,7.105427357601e-15
2007-02-01,0,-0.249999999999996
2007-03-01,1.27781751058817,-7.105427357601e-15
2007-04-01,-3.27781751058818,3.5527136788005e-15
2007-05-01,1,1.06581410364015e-14
2007-06-01,3.5,1.06581410364015e-14
2007-07-01,-0.5,-7.105427357601e-15
2007-08-01,3,-7.105427357601e-15
2007-09-01,-5,3.5527136788005e-15
2007-10-01,3,-7.105427357601e-15
2007-11-01,2,7.105427357601e-15
2007-12-01,-8,-1.06581410364015e-14
2008-01-01,2,7.105427357601e-15
2008-02-01,1,0.750000000000004
2008-03-01,-9.22218248941182,-7.105427357601e-15
2008-04-01,7.22218248941182,3.5527136788005e-15
2008-05-01,-1.5,1.06581410364015e-14
2008-06-01,-3.5,1.06581410364015e-14
2008-07-01,3,-7.105427357601e-15
2008-08-01,-4,-7.105427357601e-15
2008-09-01,2,3.5527136788005e-15
2008-10-01,3,-7.105427357601e-15
2008-11-01,-5,7.105427357601e-15
2008-12-01,-1,-1.06581410364015e-14
2009-01-01,-1.5,7.105427357601e-15
2009-02-01,0,-0.249999999999996
2009-03-01,1.27781751058817,-7.105427357601e-15
2009-04-01,0.222182489411825,3.5527136788005e-15
2009-05-01,-5,1.06581410364015e-14
2009-06-01,8.88178419700125e-16,1.06581410364015e-14
2009-07-01,3,-7.105427357601e-15
2009-08-01,-4,-7.105427357601e-15
2009-09-01,2,3.5527136788005e-15
2009-10-01,-0.5,-7.105427357601e-15
2009-11-01,-1.5,7.105427357601e-15
2009-12-01,2.5,-1.06581410364015e-14
2010-01-01,-5,7.105427357601e-15
2010-02-01,0,-0.249999999999996
2010-03-01,4.77781751058817,-7.105427357601e-15
2010-04-01,0.222182489411825,3.5527136788005e-15
2010-05-01,-1.5,1.06581410364015e-14
2010-06-01,8.88178419700125e-16,1.06581410364015e-14
2010-07-01,-0.5,-7.105427357601e-15
2010-08-01,-0.5,-7.105427357601e-15
2010-09-01,2,3.5527136788005e-15
2010-10-01,-4,-7.105427357601e-15
2010-11-01,2,7.105427357601e-15
2010-12-01,6,-1.06581410364015e-14
2011-01-01,-1.5,7.105427357601e-15
2011-02-01,0,-0.249999999999996
2011-03-01,4.77781751058817,-7.105427357601e-15
2011-04-01,-3.27781751058818,3.5527136788005e-15
2011-05-01,2,1.06581410364015e-14
